,runID,module,name,count,sumweights,mean,stddev,min,max,interpolationmode,recordingmode,source,title,load,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,underflows,overflows,binedges,binvalues
0,General-0-20250803-11:57:39-35092,GPON.onus[0],packet_latency:stats,9148.0,9148.0,7.1450225283345e-05,4.591382904593044e-05,6.3579999043384e-09,0.000351115756,none,stats,latency,packet latency at ONU,0.1,General,20250803-11:57:39,20250803-115739,General,omnetpp.ini,$load=0.1,load=0.1,load=0.1-,$load=0.1,GPON,35092,0,#0,results,0,0,,,,
1,General-1-20250803-11:57:43-13296,GPON.onus[0],packet_latency:stats,18366.0,18366.0,8.522865248666014e-05,6.249826995809057e-05,6.5429999196454e-09,0.0006393322369993,none,stats,latency,packet latency at ONU,0.2,General,20250803-11:57:43,20250803-115743,General,omnetpp.ini,$load=0.2,load=0.2,load=0.2-,$load=0.2,GPON,13296,0,#0,results,1,1,,,,
2,General-2-20250803-11:57:45-22960,GPON.onus[0],packet_latency:stats,27376.0,27376.0,0.00010769135854215371,8.572114245396884e-05,5.5540001486776e-09,0.00080524958299977,none,stats,latency,packet latency at ONU,0.3,General,20250803-11:57:45,20250803-115745,General,omnetpp.ini,$load=0.3,load=0.3,load=0.3-,$load=0.3,GPON,22960,0,#0,results,2,2,,,,
3,General-3-20250803-11:57:48-20656,GPON.onus[0],packet_latency:stats,36512.0,36512.0,0.0001534889614650252,0.0001351437999351308,2.9629996234348e-09,0.001416919865,none,stats,latency,packet latency at ONU,0.4,General,20250803-11:57:48,20250803-115748,General,omnetpp.ini,$load=0.4,load=0.4,load=0.4-,$load=0.4,GPON,20656,0,#0,results,3,3,,,,
4,General-4-20250803-11:57:51-6936,GPON.onus[0],packet_latency:stats,45785.0,45785.0,0.0002735886486957082,0.0002807974057635136,1.306499997078e-08,0.0030339273139997,none,stats,latency,packet latency at ONU,0.5,General,20250803-11:57:51,20250803-115751,General,omnetpp.ini,$load=0.5,load=0.5,load=0.5-,$load=0.5,GPON,6936,0,#0,results,4,4,,,,
5,General-5-20250803-11:57:57-30760,GPON.onus[0],packet_latency:stats,54696.0,54696.0,0.0009003154566678185,0.0008111905197557667,8.695199982256e-08,0.005192677392,none,stats,latency,packet latency at ONU,0.6,General,20250803-11:57:57,20250803-115757,General,omnetpp.ini,$load=0.6,load=0.6,load=0.6-,$load=0.6,GPON,30760,0,#0,results,5,5,,,,
6,General-6-20250803-11:58:00-17988,GPON.onus[0],packet_latency:stats,58027.0,58027.0,0.2340257229952436,0.13435337640810185,0.000216234056,0.460986436613,none,stats,latency,packet latency at ONU,0.7,General,20250803-11:58:00,20250803-115800,General,omnetpp.ini,$load=0.7,load=0.7,load=0.7-,$load=0.7,GPON,17988,0,#0,results,6,6,,,,
7,General-7-20250803-11:58:05-32148,GPON.onus[0],packet_latency:stats,57928.0,57928.0,0.5173359095783558,0.29744190013872984,0.000233622404,1.029107153342,none,stats,latency,packet latency at ONU,0.8,General,20250803-11:58:05,20250803-115805,General,omnetpp.ini,$load=0.8,load=0.8,load=0.8-,$load=0.8,GPON,32148,0,#0,results,7,7,,,,
8,General-8-20250803-11:58:09-24476,GPON.onus[0],packet_latency:stats,57928.0,57928.0,0.737731812425114,0.42498135937666026,0.000247146674,1.469786356797,none,stats,latency,packet latency at ONU,0.9,General,20250803-11:58:09,20250803-115809,General,omnetpp.ini,$load=0.9,load=0.9,load=0.9-,$load=0.9,GPON,24476,0,#0,results,8,8,,,,
9,General-9-20250803-11:58:14-31288,GPON.onus[0],packet_latency:stats,58027.0,58027.0,0.9141860560075998,0.5274236306303245,0.00025796609,1.822683340474,none,stats,latency,packet latency at ONU,1,General,20250803-11:58:14,20250803-115814,General,omnetpp.ini,$load=1,load=1,load=1-,$load=1,GPON,31288,0,#0,results,9,9,,,,
